Name,Season,Tm,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
Kevin Love,2009-10,MIN,PF,60.0,22.0,1714.0,8.5,18.8,0.45,6.6,8.0,0.815,6.6,12.6,19.2,4.0,1.3,0.7,3.4,4.0,24.5,113.0,109.0
Kevin Love,2010-11 ★,MIN,PF,73.0,73.0,2611.0,9.2,19.6,0.47,8.1,9.5,0.85,6.3,14.9,21.2,3.5,0.9,0.5,3.0,2.8,28.1,123.0,108.0
Kevin Love,2011-12 ★,MIN,PF,55.0,55.0,2145.0,11.4,25.4,0.44799999999999995,9.1,11.0,0.8240000000000001,5.4,12.2,17.6,2.7,1.1,0.7,3.1,3.6,34.3,117.0,104.0
Kevin Love,2012-13,MIN,PF,18.0,18.0,618.0,8.8,24.9,0.35200000000000004,8.4,11.9,0.7040000000000001,5.4,15.7,21.1,3.5,1.1,0.8,3.3,2.8,27.6,99.0,102.0
Kevin Love,2013-14 ★,MIN,PF,77.0,77.0,2797.0,11.5,25.1,0.457,9.2,11.2,0.821,3.9,13.0,17.0,6.0,1.0,0.6,3.5,2.4,35.4,120.0,104.0
Kevin Love,2014-15,CLE,PF,24.0,24.0,868.0,8.2,18.4,0.444,6.4,7.8,0.8220000000000001,2.7,12.5,15.2,3.5,1.2,0.5,2.6,3.5,25.4,117.0,106.0
Kevin Love,Career,,,388.0,306.0,12801.0,9.7,21.5,0.451,8.0,9.8,0.816,5.5,13.1,18.6,3.8,1.0,0.7,3.2,3.4,29.3,117.0,106.0
Kevin Love,,,,,,,,,,,,,,,,,,,,,,,
Kevin Love,6,MIN,,364.0,282.0,11933.0,9.8,21.8,0.451,8.1,9.9,0.815,5.7,13.2,18.9,3.8,1.0,0.7,3.2,3.4,29.6,117.0,106.0
Kevin Love,1,CLE,,24.0,24.0,868.0,8.2,18.4,0.444,6.4,7.8,0.8220000000000001,2.7,12.5,15.2,3.5,1.2,0.5,2.6,3.5,25.4,117.0,106.0
Nikola Vucevic,2011-12,PHI,C,51.0,15.0,812.0,8.6,19.2,0.45,1.2,2.2,0.529,5.8,10.4,16.2,2.0,1.3,2.2,2.2,7.3,18.7,99.0,97.0
Nikola Vucevic,2012-13,ORL,C,77.0,77.0,2559.0,9.4,18.1,0.519,1.8,2.6,0.6829999999999999,5.6,13.1,18.7,2.9,1.2,1.6,2.9,4.4,20.5,106.0,105.0
Nikola Vucevic,2013-14,ORL,C,57.0,57.0,1812.0,10.0,19.7,0.507,3.0,3.9,0.7659999999999999,5.2,12.5,17.7,2.9,1.7,1.3,3.2,4.8,22.9,106.0,103.0
Nikola Vucevic,2014-15,ORL,C,22.0,22.0,774.0,11.7,22.9,0.51,3.4,4.5,0.7609999999999999,5.0,12.1,17.1,2.8,1.1,1.5,3.9,4.1,27.0,104.0,104.0
Nikola Vucevic,Career,,,207.0,171.0,5957.0,9.8,19.4,0.505,2.3,3.2,0.7140000000000001,5.4,12.4,17.8,2.8,1.4,1.6,3.0,4.9,21.9,105.0,103.0
Nikola Vucevic,,,,,,,,,,,,,,,,,,,,,,,
Nikola Vucevic,3,ORL,,156.0,156.0,5145.0,9.9,19.4,0.513,2.4,3.3,0.733,5.4,12.7,18.1,2.9,1.4,1.5,3.1,4.5,22.3,106.0,104.0
Nikola Vucevic,1,PHI,,51.0,15.0,812.0,8.6,19.2,0.45,1.2,2.2,0.529,5.8,10.4,16.2,2.0,1.3,2.2,2.2,7.3,18.7,99.0,97.0
Aaron Brooks,2007-08,HOU,PG,51.0,0.0,608.0,8.1,19.7,0.413,3.7,4.3,0.857,1.1,3.8,4.9,7.6,1.1,0.4,3.8,6.0,23.1,107.0,106.0
Aaron Brooks,2008-09,HOU,PG,80.0,35.0,1998.0,8.4,20.9,0.40399999999999997,4.0,4.6,0.866,0.9,3.3,4.2,6.3,1.2,0.2,3.3,4.0,23.8,105.0,108.0
Aaron Brooks,2009-10,HOU,PG,82.0,82.0,2919.0,10.1,23.3,0.43200000000000005,4.3,5.2,0.8220000000000001,0.9,2.8,3.8,7.6,1.2,0.2,4.1,3.5,28.0,108.0,112.0
Aaron Brooks,2010-11,TOT,PG,59.0,12.0,1284.0,8.7,23.3,0.375,4.9,5.6,0.8859999999999999,0.8,2.3,3.1,9.2,1.3,0.1,3.9,4.6,25.1,102.0,113.0
Aaron Brooks,2010-11,HOU,PG,34.0,7.0,811.0,8.4,24.3,0.34600000000000003,4.9,5.2,0.94,0.7,2.5,3.2,8.1,1.3,0.1,3.5,4.3,24.8,99.0,113.0
Aaron Brooks,2010-11,PHO,PG,25.0,5.0,473.0,9.2,21.5,0.43,4.9,6.1,0.807,1.0,1.9,2.9,11.2,1.4,0.1,4.7,4.9,25.8,107.0,114.0
